code,num
C1072,711.0857617644974
C1128,1247.187504132185
C1456,512.3519063712852
C1840,556.9288397772982
C1332,1147.9554194881707
C1563,1709.8251745342704
C1794,993.2397625390303
C1640,452.1355948618612
C1377,358.3071984187282
C2072,298.0540834513196
C1472,479.2584097019114
C1006,315.01197139040914
C1083,420.5131644386286
C1311,227.00846142479267
C2676,276.32890349942863
C2318,191.00258070944275
C1603,456.3575852168529
C2523,302.9669972538715
C2177,192.69116815154734
C2411,682.2723110225129
C2033,237.52139272393308
C1604,434.32114263882136
C2535,470.85023459282587
C1040,504.8192340784828
C2417,421.785301784861
C1812,155.21044753778648
C2253,116.92986817921177
C1294,577.4663265795892
C1772,513.7783453180324
C2646,486.6506728955312
C1152,915.5017373508487
C2423,163.23061758049627
C1844,473.16885183398284
C1318,230.7118481882127
C1729,90.14686699750276
C1602,292.5522712628645
C1239,421.5157020781562
C1721,576.0975119059398
C1902,852.185360563111
C1855,322.9982789872859
C2600,448.796486232846
C1071,393.5024287768099
C2295,366.16161525631884
C1621,563.0924899197668
C1852,789.206766568183
C2555,1072.4232341296222
C1297,486.6569746111679
C2323,583.3648354985488
C2215,376.99868920861564
C2112,326.5041746760593
C1830,800.5240454416079
C2602,267.59354777427586
C2608,1056.004443182267
C1215,633.4183042682847
C2369,648.6598768392006
C1158,230.23307203270255
C1887,585.0740033145747
C1189,335.5336903307519
C1637,438.94628894238275
C1225,172.45633272339828
C2374,358.51390764019607
C2397,546.8586231240841
C1105,913.038421704595
C1782,411.22104350290147
C1629,191.20244494343805
C1708,280.6624947158133
C2144,513.4673994302091
C1617,953.5098415729323
C1149,515.3461308222189
C1323,496.9977173017646
C1064,692.1677334064116
C1019,263.0138066702857
C2269,555.6352940438338
C1416,823.8566994587677
C1250,984.4391150716992
C1741,462.3974725337054
C1016,636.6427495829155
C2675,0.0
C2436,754.9116560516796
C2039,882.3163029612593
C1253,767.8103880525999
C2028,1038.2450386870833
C1166,289.74085623596505
C1135,203.98671872037076
C1216,311.9034228074651
C1593,226.86125418731467
C1826,229.27240205740986
C1827,377.9509063030205
C1564,305.512429907328
C1495,920.7130444301788
C2653,806.4178876989831
C1392,591.5568445530273
C2128,298.75629355572755
C1282,573.6872573325882
C1521,1135.139318566101
C2076,923.4132028253839
C1060,622.3451630405258
C2473,1069.1555254985253
C2557,754.2268529226902
C1835,798.7052854297931
C2224,791.9664041108189
C2222,339.2744905424403
C2430,809.2413260539201
C2497,552.9957878474619
C1494,972.6246482277514
C1457,604.8625295407481
C1525,1135.9977616872718
C1712,562.5983723266212
C2267,878.8052665203359
C1623,254.83809193181614
C2131,584.6985674349568
C2691,1064.4346817071757
C1147,914.4423954918644
C1692,926.0546428155536
C1570,805.0501263582884
C1474,158.3620397249562
C1633,139.93127542437165
C2113,615.6411465663141
C2175,861.9191737475481
C2303,1228.6498250213035
C2547,544.7365906291675
C2292,814.6786194633114
C1496,756.363559169023
C1289,397.41985787597486
C1849,723.3224746970626
C1003,273.8653251627506
C2268,448.66811913972407
C2551,682.5949767613107
C2688,106.34342559847885
C1030,39.31751170878922
C1327,0.0
C2451,551.8010069208323
C1749,558.5188997071969
C1349,275.91094849059544
C2043,260.623200883725
C1229,296.13268040747056
C2363,470.9072936846792
C1414,475.4448083764699
C2174,478.34333521939016
C2091,124.90036471946298
C2335,0.0
C1841,53.780006991622486
C2404,112.50225904676576
C1683,215.13510300377288
C1038,299.7040520981686
C2456,266.86406461565156
C1266,514.2027785213858
C2152,43.3653369738852
C1267,396.83984612000427
C2189,271.07335434902103
